date,origin_port,destination_port,transport_mode,product_category,distance_km,weight_mt,fuel_price_index,geopolitical_risk_score,weather_condition,carrier_reliability_score,lead_time_days,disruption
2025-01-19,Dubai,Busan,Sea,Automotive,6246.53,474.4,3.77,9.5,Clear,0.653,13.1,0
2025-10-31,Rotterdam,Shanghai,Road,Textiles,12048.39,205.26,2.69,8.3,Hurricane,0.512,81.21,1
2024-04-10,Rotterdam,Shanghai,Road,Textiles,10686.02,235.23,2.51,6.2,Storm,0.677,25.24,1
2025-06-03,Antwerp,Los Angeles,Sea,Perishables,12833.93,392.2,3.26,5.1,Storm,0.863,67.06,1
2025-08-31,Hamburg,Los Angeles,Air,Electronics,2045.67,480.22,4.1,8.9,Storm,0.571,1.09,1
2025-10-16,Rotterdam,Los Angeles,Air,Perishables,3426.88,63.94,4.14,6.8,Storm,0.655,0.5,1
2024-05-15,Antwerp,Busan,Sea,Textiles,14295.95,423.83,1.98,1.6,Fog,0.766,32.73,1
2024-12-27,Shanghai,Rotterdam,Sea,Pharmaceuticals,10731.0,143.84,4.36,7.8,Clear,0.969,20.59,0
2025-09-03,Singapore,Rotterdam,Road,Perishables,3311.01,468.54,3.03,9.9,Storm,0.967,8.45,1
2024-08-07,Los Angeles,Antwerp,Sea,Automotive,11604.95,67.84,2.58,5.2,Hurricane,0.948,162.17,1
2024-11-22,Dubai,Los Angeles,Sea,Perishables,4263.86,426.42,2.62,5.3,Hurricane,0.958,60.24,1
2024-02-06,Singapore,Shanghai,Rail,Pharmaceuticals,12416.97,420.97,2.85,0.3,Fog,0.917,13.67,0
2024-09-24,Busan,Marseille,Road,Pharmaceuticals,8113.22,478.54,1.89,5.5,Clear,0.918,6.27,1
2024-09-02,Busan,Shanghai,Sea,Automotive,12498.84,475.16,2.67,7.6,Rain,0.693,28.66,1
2024-08-11,Hamburg,Antwerp,Road,Textiles,7165.14,162.89,2.44,1.9,Fog,0.68,7.12,0
2025-03-30,Rotterdam,Busan,Road,Perishables,6177.12,308.06,2.01,9.6,Hurricane,0.875,42.74,1
2025-07-05,Antwerp,Hamburg,Sea,Perishables,4559.7,455.98,1.43,1.2,Clear,0.658,6.83,1
2024-07-13,Antwerp,Singapore,Air,Automotive,6023.8,193.86,2.21,6.9,Rain,0.806,0.59,0
2025-06-27,Los Angeles,Antwerp,Sea,Pharmaceuticals,12157.4,420.16,3.31,7.9,Fog,0.998,34.99,1
2025-03-28,Dubai,Los Angeles,Road,Pharmaceuticals,5073.4,144.34,2.21,3.8,Hurricane,0.76,28.79,1
2025-04-28,Los Angeles,Marseille,Sea,Pharmaceuticals,12577.48,289.71,1.61,5.8,Clear,0.828,22.13,0
2025-06-10,Los Angeles,Marseille,Sea,Automotive,1796.46,482.79,2.29,2.5,Fog,0.896,3.54,1
2025-08-16,Busan,Marseille,Sea,Perishables,14650.05,41.66,4.32,9.1,Hurricane,0.849,236.39,1
2024-06-06,Busan,Antwerp,Air,Automotive,5156.85,108.21,3.96,8.7,Storm,0.984,0.53,1
2024-11-07,Singapore,Rotterdam,Rail,Pharmaceuticals,2823.27,446.87,3.72,9.0,Rain,0.705,3.69,1
2025-02-20,Shanghai,Marseille,Road,Pharmaceuticals,5095.37,42.53,2.53,7.6,Rain,0.667,4.86,0
2024-05-04,Los Angeles,Antwerp,Sea,Automotive,7759.05,405.49,3.13,9.6,Hurricane,0.728,126.88,1
2025-05-13,Antwerp,Singapore,Rail,Electronics,14886.29,446.86,3.78,2.3,Rain,0.529,14.03,0
2024-10-10,Singapore,Shanghai,Sea,Pharmaceuticals,7082.85,436.91,4.32,7.2,Clear,0.748,14.21,1
2025-02-12,Dubai,Shanghai,Air,Textiles,5747.84,235.92,3.81,7.0,Fog,0.72,0.5,0
2025-10-10,Antwerp,Rotterdam,Air,Textiles,13943.29,320.49,1.95,9.3,Fog,0.859,2.1,0
2024-10-28,Los Angeles,Rotterdam,Rail,Automotive,3337.83,226.0,2.76,4.6,Hurricane,0.862,22.89,1
2025-12-29,Singapore,Marseille,Sea,Automotive,6793.28,11.04,3.58,3.5,Fog,0.832,15.88,1
2024-09-05,Antwerp,Shanghai,Rail,Perishables,6563.1,157.37,4.04,4.5,Hurricane,0.638,44.51,1
2025-11-17,Los Angeles,Hamburg,Sea,Perishables,4814.45,384.61,3.3,2.3,Storm,0.981,22.37,0
2025-05-18,Rotterdam,Antwerp,Road,Perishables,5585.32,247.0,2.34,7.6,Fog,0.775,6.4,1
2025-03-16,Antwerp,Singapore,Road,Perishables,6256.23,68.35,2.43,2.2,Rain,0.984,4.98,0
2024-08-02,Antwerp,Hamburg,Air,Perishables,6321.2,145.85,1.82,9.2,Rain,0.729,0.5,1
2025-06-13,Dubai,Hamburg,Air,Perishables,11324.13,371.44,2.24,1.0,Fog,0.72,0.5,0
2024-09-04,Busan,Dubai,Air,Pharmaceuticals,10997.61,85.05,2.97,2.7,Fog,0.87,0.64,0
2025-12-20,Los Angeles,Busan,Sea,Electronics,892.89,224.59,1.53,0.7,Rain,0.97,1.98,0
2025-04-14,Singapore,Dubai,Air,Perishables,13136.18,315.75,1.77,8.3,Fog,0.794,0.99,1
2025-04-17,Busan,Singapore,Air,Automotive,13479.21,437.5,4.07,5.9,Storm,0.779,2.61,1
2024-02-29,Shanghai,Busan,Air,Automotive,3874.56,133.42,1.57,8.9,Clear,0.845,0.5,1
2025-04-26,Singapore,Antwerp,Road,Textiles,10145.36,328.25,3.7,9.2,Clear,0.736,9.31,0
2025-12-04,Antwerp,Shanghai,Rail,Perishables,12655.77,264.82,2.56,5.3,Hurricane,0.909,89.58,1
2025-03-05,Singapore,Los Angeles,Air,Textiles,10125.17,30.82,3.97,8.8,Storm,0.646,1.96,1
2025-01-19,Rotterdam,Shanghai,Air,Textiles,9523.98,83.1,2.79,6.1,Hurricane,0.505,5.73,1
2025-10-09,Los Angeles,Antwerp,Road,Textiles,7163.97,414.28,2.9,9.3,Rain,0.687,7.73,1
2024-07-23,Antwerp,Hamburg,Air,Pharmaceuticals,1445.47,382.79,3.26,6.4,Fog,0.808,0.5,1
2025-09-21,Hamburg,Antwerp,Air,Perishables,3944.39,302.29,4.3,0.3,Fog,0.835,0.5,0
2025-09-12,Busan,Dubai,Sea,Electronics,5465.5,59.02,2.22,4.2,Storm,0.875,27.23,1
2024-02-19,Rotterdam,Marseille,Rail,Pharmaceuticals,9860.25,82.12,3.87,5.4,Storm,0.935,25.45,1
2025-04-13,Hamburg,Singapore,Air,Electronics,2928.62,269.17,3.04,3.1,Storm,0.548,0.87,1
2025-12-02,Busan,Dubai,Road,Textiles,7338.92,266.62,3.7,2.7,Fog,0.826,7.24,0
2024-04-23,Los Angeles,Busan,Road,Automotive,2519.06,96.57,4.0,1.2,Hurricane,0.519,12.39,1
2025-06-13,Busan,Los Angeles,Rail,Textiles,5072.77,474.59,2.46,4.9,Hurricane,0.803,35.14,1
2025-02-15,Shanghai,Singapore,Rail,Perishables,4139.52,247.51,4.12,3.5,Clear,0.597,3.8,0
2025-09-16,Hamburg,Marseille,Rail,Textiles,9441.43,43.98,4.01,0.5,Fog,0.582,10.37,0
2025-03-24,Dubai,Rotterdam,Air,Textiles,13223.34,5.53,4.04,8.4,Clear,0.681,1.4,1
2024-07-25,Dubai,Los Angeles,Rail,Electronics,12544.03,53.14,2.6,5.8,Clear,0.515,11.28,0
2025-06-14,Hamburg,Busan,Sea,Automotive,6075.41,481.99,1.46,8.6,Storm,0.773,35.7,1
2025-10-27,Singapore,Shanghai,Air,Pharmaceuticals,14064.53,110.81,1.93,9.8,Clear,0.629,1.11,0
2024-04-30,Rotterdam,Dubai,Rail,Automotive,4202.38,308.2,4.12,1.5,Fog,0.589,4.43,1
2024-03-17,Antwerp,Shanghai,Rail,Automotive,13706.98,21.76,2.6,3.2,Clear,0.517,11.05,0
2025-07-04,Los Angeles,Busan,Air,Pharmaceuticals,13200.3,424.54,1.55,6.8,Storm,0.62,3.55,1
2025-06-11,Antwerp,Marseille,Rail,Perishables,9948.78,346.71,3.7,5.3,Storm,0.941,26.79,1
2025-11-25,Rotterdam,Singapore,Air,Pharmaceuticals,1959.24,135.9,3.17,7.9,Rain,0.999,0.5,0
2025-04-06,Singapore,Busan,Road,Automotive,5335.74,354.58,4.35,7.9,Fog,0.933,6.21,1
2024-11-19,Los Angeles,Hamburg,Sea,Textiles,7874.28,166.88,2.31,5.6,Rain,0.644,17.18,0
2025-01-02,Antwerp,Dubai,Air,Electronics,3562.86,489.02,2.44,8.9,Storm,0.608,1.29,1
2025-04-21,Rotterdam,Hamburg,Rail,Electronics,6843.39,362.94,2.63,3.2,Clear,0.67,5.81,1
2024-10-27,Busan,Los Angeles,Sea,Textiles,5843.63,421.73,2.88,5.6,Storm,0.601,30.56,1
2024-06-04,Busan,Hamburg,Road,Electronics,4473.8,206.15,3.25,4.4,Clear,0.908,2.79,0
2024-09-12,Busan,Hamburg,Road,Pharmaceuticals,13553.83,447.64,2.38,9.8,Fog,0.798,19.22,0
2025-10-18,Singapore,Antwerp,Sea,Perishables,14856.58,444.67,1.82,0.8,Rain,0.847,25.98,0
2024-09-08,Dubai,Singapore,Road,Automotive,10094.92,390.98,1.46,0.6,Storm,0.776,18.34,0
2024-06-17,Hamburg,Antwerp,Road,Textiles,1249.38,391.97,4.21,9.9,Fog,0.922,2.11,1
2025-04-02,Los Angeles,Busan,Road,Electronics,9469.86,94.49,3.95,5.8,Clear,0.612,7.9,1
2024-04-27,Rotterdam,Singapore,Sea,Perishables,14873.21,151.53,4.17,8.1,Hurricane,0.528,231.26,1
2024-05-17,Los Angeles,Dubai,Air,Textiles,9706.15,465.25,3.61,3.4,Fog,0.932,0.5,0
2024-08-06,Shanghai,Dubai,Road,Electronics,3629.4,303.34,2.38,2.2,Fog,0.77,3.39,0
2025-11-02,Singapore,Hamburg,Air,Perishables,2657.54,248.67,1.41,1.5,Storm,0.518,0.5,1
2025-12-14,Singapore,Rotterdam,Rail,Perishables,1031.74,102.55,4.11,4.3,Rain,0.547,1.67,1
2024-12-09,Dubai,Rotterdam,Rail,Electronics,2695.77,332.19,1.77,0.4,Hurricane,0.74,15.05,1
2024-02-02,Busan,Hamburg,Air,Perishables,2745.01,185.5,3.97,0.6,Rain,0.88,0.93,0
2025-05-20,Busan,Hamburg,Sea,Automotive,7376.11,132.09,3.07,5.1,Clear,0.909,12.41,0
2025-03-03,Hamburg,Antwerp,Road,Perishables,9927.92,451.73,3.18,4.8,Fog,0.932,11.18,0
2025-12-17,Shanghai,Singapore,Air,Textiles,3015.69,72.7,2.43,9.7,Clear,0.643,0.5,1
2024-02-27,Singapore,Marseille,Sea,Automotive,4397.57,40.06,2.93,7.9,Clear,0.731,8.48,1
2024-11-12,Singapore,Rotterdam,Air,Electronics,1848.36,20.74,4.07,9.2,Rain,0.646,0.69,1
2025-06-13,Dubai,Singapore,Air,Pharmaceuticals,1277.7,144.38,1.92,3.0,Rain,0.628,0.5,0
2025-03-06,Los Angeles,Dubai,Sea,Perishables,14728.23,323.33,3.96,3.9,Clear,0.957,24.16,0
2024-05-25,Rotterdam,Busan,Road,Perishables,6266.42,34.31,2.92,4.8,Hurricane,0.607,36.9,1
2025-07-28,Shanghai,Marseille,Sea,Textiles,13125.87,20.67,2.69,2.0,Rain,0.82,23.89,0
2024-04-30,Rotterdam,Dubai,Rail,Textiles,2243.0,277.54,1.8,7.4,Clear,0.779,1.91,0
2024-05-29,Rotterdam,Los Angeles,Sea,Perishables,11524.2,496.42,2.01,7.9,Hurricane,0.552,178.61,1
2025-12-24,Dubai,Marseille,Road,Perishables,3939.79,289.8,2.67,3.8,Fog,0.655,3.31,0
2024-10-30,Hamburg,Rotterdam,Rail,Pharmaceuticals,884.72,271.93,3.14,2.3,Fog,0.574,1.34,0
2025-01-16,Busan,Singapore,Sea,Automotive,1991.22,232.7,4.1,1.9,Storm,0.863,9.46,1
2024-02-01,Busan,Los Angeles,Rail,Automotive,11340.34,416.36,1.96,9.2,Rain,0.882,13.9,0
2024-02-07,Shanghai,Dubai,Road,Perishables,1794.7,444.95,2.38,6.4,Hurricane,0.821,11.33,1
2024-04-23,Hamburg,Shanghai,Air,Electronics,9342.29,406.12,1.51,6.9,Hurricane,0.572,5.36,1
2024-02-09,Rotterdam,Los Angeles,Air,Pharmaceuticals,7143.71,467.48,2.96,9.5,Storm,0.795,2.11,1
2025-10-22,Dubai,Busan,Rail,Electronics,13410.94,393.12,2.58,3.9,Storm,0.985,32.75,0
2025-02-09,Rotterdam,Dubai,Rail,Pharmaceuticals,7578.58,248.16,3.73,8.9,Fog,0.611,11.29,1
2024-10-11,Rotterdam,Shanghai,Sea,Perishables,5930.95,496.59,2.28,6.0,Clear,0.816,10.34,1
2025-10-23,Dubai,Rotterdam,Air,Automotive,8868.2,305.59,4.31,6.9,Rain,0.677,0.5,0
2025-03-24,Los Angeles,Hamburg,Road,Electronics,3791.19,499.75,2.71,2.6,Storm,0.752,8.36,1
2025-07-10,Shanghai,Hamburg,Sea,Textiles,9392.73,385.44,1.77,1.6,Hurricane,0.68,112.65,1
2024-04-15,Rotterdam,Dubai,Rail,Automotive,14523.34,267.48,3.16,1.7,Rain,0.977,13.35,0
2025-07-17,Busan,Hamburg,Road,Electronics,1506.21,270.47,1.82,5.4,Clear,0.732,1.39,0
2024-12-05,Rotterdam,Dubai,Sea,Textiles,9158.75,231.85,2.5,3.8,Hurricane,0.772,122.33,1
2025-05-29,Singapore,Shanghai,Road,Pharmaceuticals,14014.41,485.09,3.13,2.8,Storm,0.645,28.52,0
2025-04-30,Antwerp,Marseille,Air,Automotive,13217.81,69.98,4.02,8.9,Rain,0.697,1.19,0
2025-11-08,Los Angeles,Hamburg,Rail,Textiles,8536.28,115.63,1.41,2.9,Storm,0.774,19.89,1
2024-04-02,Los Angeles,Shanghai,Air,Electronics,11950.63,204.94,1.58,0.1,Fog,0.952,1.47,0
2024-12-16,Busan,Los Angeles,Rail,Perishables,14142.76,175.58,2.5,5.5,Rain,0.745,15.93,0
2024-07-03,Busan,Marseille,Rail,Electronics,13297.12,165.36,1.98,4.8,Clear,0.62,11.72,0
2025-01-11,Singapore,Dubai,Air,Textiles,14806.14,218.6,3.94,5.2,Fog,0.58,1.76,1
2024-09-20,Los Angeles,Busan,Road,Pharmaceuticals,13046.79,137.31,4.3,6.2,Fog,0.542,15.02,0
2025-01-30,Antwerp,Rotterdam,Air,Electronics,9130.83,366.42,3.47,7.7,Rain,0.707,1.34,1
2025-12-21,Los Angeles,Shanghai,Air,Perishables,14387.95,405.26,1.77,4.8,Hurricane,0.611,7.24,1
2025-06-23,Antwerp,Dubai,Sea,Perishables,12845.66,378.64,2.37,1.6,Clear,0.92,19.54,1
2024-05-03,Shanghai,Antwerp,Sea,Perishables,3133.17,9.44,3.58,6.5,Rain,0.844,7.23,0
2024-05-25,Los Angeles,Singapore,Road,Perishables,5240.64,282.0,1.46,7.1,Fog,0.931,6.68,1
2025-02-14,Busan,Marseille,Sea,Automotive,5598.92,55.2,4.31,2.5,Clear,0.91,8.92,1
2024-01-22,Antwerp,Busan,Air,Textiles,8322.62,297.19,3.1,1.1,Storm,0.853,1.19,0
2024-07-23,Busan,Los Angeles,Sea,Pharmaceuticals,555.39,90.24,1.32,3.6,Fog,0.856,1.84,0
2024-09-12,Hamburg,Shanghai,Rail,Electronics,5945.95,90.4,4.25,9.2,Clear,0.82,5.5,0
2024-11-11,Dubai,Antwerp,Rail,Textiles,2394.46,334.04,1.9,3.6,Clear,0.614,1.98,1
2025-12-18,Rotterdam,Marseille,Air,Automotive,12499.02,271.9,3.86,2.4,Hurricane,0.711,5.99,1
2024-10-12,Hamburg,Shanghai,Sea,Automotive,567.16,223.5,1.38,8.7,Clear,0.527,1.27,1
2025-12-21,Rotterdam,Los Angeles,Air,Perishables,9483.13,155.32,3.83,3.9,Clear,0.946,0.58,0
2024-11-04,Hamburg,Rotterdam,Air,Automotive,9250.0,483.04,3.0,1.0,Rain,0.869,1.24,0
2025-05-15,Rotterdam,Hamburg,Rail,Automotive,13908.06,67.71,2.48,7.7,Hurricane,0.956,107.19,1
2024-12-17,Hamburg,Los Angeles,Road,Pharmaceuticals,1691.49,239.1,1.99,5.8,Rain,0.804,1.68,0
2025-01-27,Hamburg,Singapore,Air,Automotive,8846.1,53.87,1.9,8.7,Storm,0.7,2.5,1
2025-08-07,Dubai,Busan,Air,Electronics,14472.49,228.99,4.45,8.0,Clear,0.904,0.71,0
2025-01-05,Singapore,Dubai,Air,Textiles,5609.44,314.98,3.01,5.9,Fog,0.744,0.55,1
2024-02-01,Rotterdam,Hamburg,Air,Automotive,3019.54,52.88,2.81,4.6,Rain,0.858,0.5,0
2024-04-28,Hamburg,Shanghai,Air,Perishables,11387.63,197.85,2.86,5.3,Fog,0.919,1.15,0
2024-07-27,Busan,Hamburg,Air,Automotive,14232.81,210.75,3.26,4.3,Hurricane,0.595,7.26,1
2025-03-07,Dubai,Shanghai,Sea,Automotive,2873.01,461.94,3.29,2.2,Storm,0.751,13.47,0
2024-03-15,Hamburg,Dubai,Road,Automotive,7372.44,239.46,3.51,2.9,Hurricane,0.589,39.25,1
2024-06-14,Hamburg,Marseille,Road,Pharmaceuticals,10518.6,442.73,3.72,3.3,Fog,0.935,11.4,0
2024-11-05,Busan,Hamburg,Sea,Textiles,14348.38,97.7,3.81,8.0,Hurricane,0.783,222.48,1
2024-07-27,Busan,Marseille,Rail,Automotive,14519.26,25.6,1.58,9.2,Hurricane,0.705,117.76,1
2025-12-27,Antwerp,Singapore,Rail,Automotive,2731.49,471.94,3.36,1.6,Fog,0.768,2.93,0
2024-08-18,Rotterdam,Shanghai,Rail,Textiles,6206.55,91.15,4.44,8.3,Hurricane,0.651,48.15,1
2024-06-28,Shanghai,Dubai,Road,Perishables,13694.18,345.62,1.87,9.9,Rain,0.548,14.59,1
2024-02-28,Singapore,Dubai,Sea,Automotive,1466.45,425.44,2.62,8.8,Clear,0.854,2.39,0
2024-04-07,Rotterdam,Hamburg,Rail,Pharmaceuticals,11661.33,408.09,4.02,9.5,Rain,0.96,14.23,1
2024-05-25,Hamburg,Shanghai,Sea,Pharmaceuticals,1747.47,396.16,4.26,4.2,Clear,0.537,2.66,1
2025-03-22,Hamburg,Los Angeles,Sea,Pharmaceuticals,9394.52,67.51,1.6,2.9,Clear,0.589,14.87,1
2024-06-30,Antwerp,Los Angeles,Rail,Pharmaceuticals,6478.06,246.77,3.7,9.9,Fog,0.693,9.4,1
2024-02-24,Rotterdam,Dubai,Rail,Automotive,7141.41,429.97,1.37,1.2,Rain,0.561,6.66,0
2025-01-12,Singapore,Hamburg,Rail,Automotive,14218.67,294.63,2.42,3.4,Clear,0.755,11.21,0
2025-01-10,Shanghai,Los Angeles,Rail,Automotive,9821.79,385.45,3.2,3.1,Clear,0.524,7.93,0
2025-04-05,Singapore,Busan,Rail,Electronics,5035.28,387.93,1.46,2.2,Storm,0.927,11.38,0
2024-09-05,Shanghai,Singapore,Sea,Textiles,10940.53,411.68,3.82,0.3,Rain,0.856,19.17,0
2024-03-07,Singapore,Los Angeles,Road,Perishables,8842.71,370.65,3.29,6.4,Fog,0.539,9.81,1
2025-01-26,Busan,Singapore,Road,Textiles,6836.44,363.84,2.57,9.1,Storm,0.923,16.75,1
2025-04-20,Hamburg,Busan,Road,Pharmaceuticals,1385.63,438.68,4.27,5.5,Hurricane,0.647,8.15,1
2024-10-17,Dubai,Singapore,Road,Electronics,9208.62,286.57,4.03,7.5,Fog,0.579,11.11,1
2025-05-10,Busan,Rotterdam,Sea,Automotive,2254.86,327.46,3.82,2.0,Rain,0.957,3.27,0
2025-12-30,Rotterdam,Los Angeles,Road,Electronics,3135.79,67.85,2.22,3.5,Storm,0.926,6.37,1
2025-12-18,Los Angeles,Singapore,Road,Pharmaceuticals,6529.37,331.91,3.64,2.5,Fog,0.505,6.55,0
2025-09-15,Los Angeles,Marseille,Air,Pharmaceuticals,973.56,426.96,2.89,9.5,Hurricane,0.54,0.98,1
2025-03-30,Rotterdam,Hamburg,Sea,Perishables,4476.12,492.98,4.31,9.0,Clear,0.565,8.73,0
2024-02-20,Rotterdam,Busan,Sea,Pharmaceuticals,9189.84,258.82,3.67,1.7,Clear,0.609,13.22,0
2024-03-30,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,4.12,0.7,Rain,0.707,0.5,0
2025-03-10,Hamburg,Marseille,Sea,Textiles,631.06,453.07,2.61,8.5,Clear,0.754,1.21,0
2024-12-12,Busan,Antwerp,Road,Textiles,12666.95,455.0,2.44,3.3,Clear,0.751,9.67,1
2024-05-09,Shanghai,Busan,Air,Automotive,4568.71,148.88,2.37,7.7,Hurricane,0.548,1.76,1
2024-05-23,Los Angeles,Hamburg,Sea,Textiles,1306.28,27.91,3.36,10.0,Hurricane,0.612,22.14,1
2024-09-18,Rotterdam,Los Angeles,Air,Pharmaceuticals,3016.11,278.09,2.96,0.3,Clear,0.888,1.25,0
2024-11-03,Rotterdam,Dubai,Rail,Automotive,13464.37,419.76,3.55,0.4,Fog,0.718,14.49,0
2024-04-03,Hamburg,Antwerp,Rail,Automotive,11386.16,5.61,4.31,1.8,Hurricane,0.989,69.17,1
2025-12-14,Singapore,Rotterdam,Rail,Perishables,9345.11,208.01,4.05,9.4,Rain,0.696,12.43,1
2024-09-11,Shanghai,Hamburg,Sea,Pharmaceuticals,8600.31,289.99,2.37,9.9,Fog,0.547,27.05,1
2025-11-11,Shanghai,Hamburg,Rail,Electronics,12287.06,273.17,3.67,0.9,Clear,0.623,9.31,0
2025-03-17,Busan,Singapore,Road,Automotive,1317.44,218.07,4.14,5.3,Fog,0.968,2.22,0
2024-10-23,Shanghai,Rotterdam,Air,Perishables,10576.79,264.26,1.92,4.0,Fog,0.53,1.04,0
2024-08-16,Busan,Rotterdam,Road,Textiles,5078.71,184.22,4.42,4.8,Rain,0.981,3.96,1
2025-04-10,Hamburg,Marseille,Sea,Electronics,1761.75,475.24,3.66,6.1,Rain,0.958,4.78,1
2025-03-01,Busan,Shanghai,Air,Perishables,12787.12,458.06,2.3,0.9,Rain,0.781,0.5,0
2024-05-31,Rotterdam,Shanghai,Sea,Electronics,10912.78,391.64,3.17,4.4,Hurricane,0.915,147.62,1
2025-01-23,Los Angeles,Antwerp,Road,Electronics,3127.88,212.05,1.96,0.7,Rain,0.671,1.66,0
2025-10-18,Shanghai,Dubai,Air,Electronics,4522.03,284.57,1.98,5.5,Storm,0.534,0.98,1
2024-03-11,Dubai,Los Angeles,Air,Electronics,1644.62,346.06,3.8,0.2,Clear,0.612,0.5,0
2025-12-07,Dubai,Hamburg,Rail,Automotive,14763.34,116.14,2.03,3.0,Fog,0.725,18.18,0
2025-04-05,Dubai,Marseille,Rail,Textiles,1699.68,401.72,3.12,4.6,Fog,0.787,2.65,1
2025-05-29,Rotterdam,Dubai,Road,Perishables,579.83,81.2,2.05,5.6,Rain,0.558,0.81,1
2025-01-18,Los Angeles,Hamburg,Sea,Textiles,14295.35,167.72,1.79,1.6,Clear,0.78,21.59,0
2024-11-04,Busan,Shanghai,Rail,Pharmaceuticals,4443.27,175.97,2.94,8.9,Hurricane,0.815,36.6,1
2025-05-16,Shanghai,Busan,Road,Automotive,5896.51,260.74,1.37,7.0,Rain,0.604,6.59,0
2025-04-13,Singapore,Antwerp,Air,Perishables,8411.44,347.79,4.06,0.8,Rain,0.995,0.99,1
2025-09-05,Dubai,Singapore,Rail,Perishables,5445.46,194.6,3.44,1.2,Fog,0.966,6.78,0
2025-10-31,Singapore,Busan,Sea,Pharmaceuticals,14421.97,158.29,1.37,2.3,Storm,0.843,66.65,1
2025-03-04,Rotterdam,Shanghai,Rail,Perishables,12463.22,383.39,2.57,2.6,Clear,0.545,10.05,1
2025-06-26,Shanghai,Rotterdam,Road,Perishables,4910.88,197.99,3.79,5.8,Rain,0.894,4.71,0
2024-08-19,Singapore,Los Angeles,Sea,Pharmaceuticals,11002.91,374.75,4.08,6.5,Rain,0.828,24.11,0
2024-12-05,Los Angeles,Antwerp,Rail,Perishables,6877.91,221.16,1.58,5.9,Clear,0.888,5.72,1
2024-04-26,Singapore,Rotterdam,Rail,Automotive,6143.84,124.13,4.37,0.1,Clear,0.837,3.64,0
2025-05-12,Singapore,Antwerp,Road,Electronics,8072.53,68.08,4.43,7.9,Clear,0.578,6.35,0
2024-04-28,Shanghai,Singapore,Sea,Electronics,14800.06,316.23,1.32,8.6,Hurricane,0.645,234.84,1
2024-08-26,Shanghai,Los Angeles,Air,Electronics,10658.87,407.29,3.27,6.8,Hurricane,0.824,6.9,1
2024-02-08,Shanghai,Singapore,Sea,Pharmaceuticals,2360.73,364.51,2.71,8.1,Rain,0.524,5.45,1
2025-08-15,Rotterdam,Antwerp,Air,Pharmaceuticals,7365.34,474.24,3.07,3.9,Hurricane,0.641,3.91,1
2025-06-23,Rotterdam,Singapore,Road,Electronics,11088.61,405.08,3.88,2.7,Storm,0.546,21.89,1
2024-07-02,Singapore,Hamburg,Air,Pharmaceuticals,4393.74,480.17,4.5,8.2,Fog,0.793,0.5,1
2025-08-20,Rotterdam,Busan,Rail,Pharmaceuticals,13114.55,249.09,2.35,0.2,Rain,0.656,12.02,0
2025-06-30,Hamburg,Shanghai,Sea,Pharmaceuticals,3501.39,53.96,4.46,2.4,Clear,0.749,6.4,0
2025-02-11,Singapore,Hamburg,Road,Perishables,8060.96,24.48,1.57,6.1,Storm,0.543,18.85,1
2024-08-20,Antwerp,Dubai,Road,Perishables,3130.81,65.56,3.81,2.6,Fog,0.774,3.17,0
2024-08-23,Los Angeles,Shanghai,Air,Perishables,1249.2,392.19,4.32,4.5,Rain,0.626,0.5,0
2025-11-02,Hamburg,Busan,Air,Pharmaceuticals,5781.91,445.53,4.07,6.9,Clear,0.573,0.87,0
2025-10-05,Rotterdam,Marseille,Rail,Perishables,1783.14,219.42,2.68,1.4,Rain,0.615,0.74,0
2024-10-01,Shanghai,Rotterdam,Road,Automotive,1711.54,49.71,3.79,8.3,Storm,0.547,4.65,1
2025-07-21,Los Angeles,Rotterdam,Sea,Perishables,13584.85,488.03,4.46,6.4,Fog,0.722,37.59,0
2025-02-21,Antwerp,Los Angeles,Air,Pharmaceuticals,8911.25,351.5,4.09,8.8,Rain,0.575,0.5,1
2024-03-27,Antwerp,Dubai,Road,Automotive,2825.3,87.83,3.43,2.8,Rain,0.573,1.86,0
2024-11-20,Shanghai,Marseille,Sea,Perishables,7259.63,192.59,1.21,1.7,Hurricane,0.643,88.32,1
2025-04-12,Rotterdam,Busan,Rail,Automotive,3127.16,114.48,4.15,9.2,Hurricane,0.646,25.64,1
2024-07-11,Hamburg,Busan,Air,Automotive,6339.2,215.23,1.51,8.3,Fog,0.674,0.85,0
2025-12-15,Shanghai,Antwerp,Rail,Automotive,14258.84,300.69,4.15,9.2,Rain,0.693,16.61,1
2024-09-18,Dubai,Los Angeles,Air,Perishables,14047.41,345.16,4.23,7.2,Clear,0.942,0.85,1
2025-10-25,Rotterdam,Hamburg,Sea,Electronics,1421.6,120.67,2.84,1.2,Rain,0.898,2.51,0
2024-12-19,Hamburg,Los Angeles,Air,Perishables,13272.63,361.94,1.79,0.7,Hurricane,0.85,5.98,1
2024-05-18,Singapore,Busan,Air,Textiles,12543.98,94.96,2.14,0.2,Storm,0.555,2.82,1
2025-03-11,Shanghai,Marseille,Rail,Pharmaceuticals,3552.35,293.34,2.75,7.8,Storm,0.935,9.93,1
2025-08-28,Antwerp,Singapore,Rail,Electronics,14816.37,427.85,1.3,9.0,Fog,0.759,22.57,1
2025-09-10,Shanghai,Hamburg,Road,Automotive,5019.81,245.4,1.97,1.4,Storm,0.657,8.72,1
